filename_only	use_xml	title	title_locations	methods_sections	content_locations	content_locations_filtered	location_sentences
MUSTAK, UDAY et al. - EVALUATION OF THE PERFORMANCE	True	EVALUATION OF THE PERFORMANCE OF SAR AND SAR-OPTICAL FUSED DATASET FOR CROP DISCRIMINATION		['2. STUDY AREA AND DATASETS USED', '2.1 Study area', '3. METHODOLOGY']	Wayanad; Kerala,; Bathery; Wayanad District in Kerala; Koppen; Wayanad; Kerala	Wayanad; Kerala,; Bathery; Wayanad District in Kerala; Wayanad; Kerala	['The Sultan Bathery region of Wayanad district in the state of Kerala, both staple crops such as paddy and cash crops such as Coffee, Rubber, Coconut and Arecanut are grown.', 'The study area is the part of Bathery taluk of Wayanad District in Kerala which is shown in figure 1.', 'The main objective of this paper is to evaluate the performance of optical, Synthetic Aperture Radar (SAR) and optical-SAR fused imageries for crop discrimination in Sultan Bathery Taluk of Wayanad district in Kerala using machine learning algorithms.']
MUTHUKUMARASAMY, SHANMUGAM et al. - SAR POLARIMETRIC DECOMPOSITION WITH ALOS	True	SAR polarimetric decomposition with ALOS PALSAR-1 for agricultural land and other land use/cover classification: case study in Rajasthan, India	Rajasthan, India	['Study area', 'Methodology']	Ramgarh; Jaisalmer; Rajasthan, India,; Thar Desert, the; Indira Gandhi Canal the northern; Indira Gandhi Canal (; Ramgarh; Bragg; SAR; FCC of IRS; IRS; (NRSC); Google Earth; SAR Data Processing and Education Tool); SLC; SRTM; Alaska	Ramgarh; Jaisalmer; Rajasthan, India,; Thar Desert, the; Indira Gandhi Canal the northern; Indira Gandhi Canal (; Ramgarh; Bragg; Google Earth; Alaska	['The study area is located in Ramgarh village of Jaisalmer district in Rajasthan, India, with an aerial extent 2 of 143 km .', 'Being a part of the great Thar Desert, the area is sandy, dry, unkind to all forms of life (www.', 'However, after the construction of the Indira Gandhi Canal the northern part of the district is irrigated and has become green.', 'Agriculture is the dominant land use in this region along the Indira Gandhi Canal (www.', 'The volume scattering from babul plantations, double-bounce nature of Ramgarh village settlements and Bragg scattering from sand dunes are the characteristic elements of the study area.', 'The same was verified using high-resolution satellite data from Google Earth.', 'All the three polarimetric decomposition parameters were orthorectified using satellite orbital information and external SRTM 3 arc-seconds digital elevation model (DEM) using Alaska Satellite Facility (ASF) MapReady tool.']
NAJIB, KANNIAH et al. - SYNERGY OF ACTIVE AND PASSIVE	True	Synergy of Active and Passive Remote Sensing Data for E ective Mapping of Oil Palm Plantation in Malaysia	Oil Palm Plantation in Malaysia	['2.1. Study Region', '2.3. Methods']	Malaysia; Southeast Asia; Peninsular	Malaysia; Southeast Asia; Peninsular	['Malaysia is a tropical maritime country located in Southeast Asia and consists of Peninsular']
NAVARRO, ROLIM et al. - CROP MONITORING BASED ON SPOT5	False	Crop Monitoring Based on SPOT-5 Take-5 and Sentinel-1A Data for the Estimation of Crop Water Requirements		['2. Materials and Methods', '2.3. Method']	Wako-Kungo (; Cela Municipality, South-Kwanza Province, Angola (; Wako-Kungo region; NDVI; NDVI; NDVI; NDVI	Wako-Kungo (; Cela Municipality, South-Kwanza Province, Angola (; Wako-Kungo region	['The test area covers an irrigation perimeter close to the town of Wako-Kungo (11˝25133”S, 15˝06110”E), which is located in the Cela Municipality, South-Kwanza Province, Angola (Figure 1).', 'The Wako-Kungo region is located on a plateau zone higher than 1200 m. This region has a warm temperate climate with a marked wet season from October to April and an average annual precipitation of approximately 1250 mm.']
NDIKUMANA, MINH et al. - APPLYING DEEP LEARNING FOR AGRICULTURAL	False	Applying deep learning for agricultural classification using multitemporal SAR Sentinel-1 for Camargue, France	France	[]			
NDIKUMANA, MINH et al. - DEEP RECURRENT NEURAL NETWORK	False	Deep Recurrent Neural Network for Agricultural Classification using multitemporal SAR Sentinel-1 for Camargue, France	France	['2. Study Area']	France,; Mediterranean Sea; Mediterranean; Cevennes; Southern Alps; Camargue Regional Natural Park,	France,; Mediterranean Sea; Mediterranean; Cevennes; Southern Alps; Camargue Regional Natural Park,	['The Camargue region, located in south-eastern France, is a coastal area of the Mediterranean Sea.', 'It has a Mediterranean climate with mild winters, a long summer period (hot and dry), irregular rainfall and sunshine.', 'Its climate has peculiarities related to its geographical location south of the Rhone corridor, between the Cevennes and the Southern Alps.', 'This zone covers the current perimeter of the Camargue Regional Natural Park, with an area of around 110,000 ha [24].']
NEETU, PRASHNANI et al. - UNDERSTANDING CROP GROWING PATTERN	True	UNDERSTANDING CROP GROWING PATTERN IN BARDHAMAN DISTRICT OF WEST BENGAL USING MULTI-DATE RISAT 1 MRS DATA	BARDHAMAN; BENGAL	['2. STUDY AREA AND DATA SETS', 'METHODOLOGY 3.1']	Bardhaman District of West Bengal; Bardhaman; south Bengal; Birbhum, Murshidabad; Dumka of; Nadia; Hooghly, Bankura; Purulia; West Bengal; Kharif Rice, Rabi; Bardhaman	Bardhaman District of West Bengal; Bardhaman; south Bengal; Birbhum, Murshidabad; Nadia; Hooghly, Bankura; Purulia; West Bengal; Kharif Rice, Rabi	['The study area includes a few blocks of Bardhaman District of West Bengal.', 'Bardhaman district is situated in the central part of south Bengal.', 'It is surrounded by Birbhum, Murshidabad and Dumka of Jharkhand on the north, Nadia on the east, Hooghly, Bankura and Purulia on the south.', 'This part of West Bengal is major in Kharif Rice, Rabi rice and Potato growing area but less in Jute, sugarcane and Til (Sesame) growing.']
NELSON, SETIYONO et al. - TOWARDS AN OPERATIONAL SARBASED RICE	True	Towards an Operational SAR-Based Rice Monitoring System in Asia: Examples from 13 Demonstration Sites across Asia in the RIICE Project	Asia; Asia in the	['2.3. Study Site Characteristics', '3. Methods', '4.6. Regional-Scale Mapping and Monitoring of Rice Areas in Asia: A Way Forward']	Southeast Asia; Cambodia (; Takeo); Phka Romduol; Angkor Borey; Leyte East, Leyte West, Agusan del Norte; Visayas; Mindanao,; Nueva Ecija; San Jose, Sto; Domingo, Talavera; Aliaga; Upper Pampanga River; Rice; Nueva Ecija; SAR; Asia; Asian Development Bank; Japan; Europe, the; Rice Information Service); CSK, TSX,; Asia; Asia; SAR	Southeast Asia; Cambodia (; Angkor Borey; Leyte East, Leyte West, Agusan del Norte; Visayas; Mindanao,; Nueva Ecija; San Jose, Sto; Aliaga; Upper Pampanga River; Nueva Ecija; Asia; Japan; Europe, the; Asia; Asia	['         The 13 monitoring sites cover a range of environments, crop establishment methods, water management practices and varietal maturities that are typical of rice-growing areas in South and Southeast Asia.', 'Cambodia (Site 1, Takeo): In this area, farmers typically grow short-duration non-photoperiod-sensitive varieties (such as IR504) for the dry season, early wet season and recession rice.', 'Monitoring was conducted in four locations (three from Angkor Borey and one in Prey Kabas District) during the recession rice of October 2012, to April 2013.', 'Philippines (Sites 2, 3, 4 and 13, Leyte East, Leyte West, Agusan del Norte and Nueva Ecija): These sites represent three geographic areas of the country—Luzon, Visayas and Mindanao, respectively—characterized by different rice cropping practices.', 'The four municipalities monitored in Nueva Ecija were San Jose, Sto.', 'Domingo, Talavera and Aliaga.', 'They were classified as irrigated lowland, and they rely mainly on the release of irrigation water from the Upper Pampanga River Integrated Irrigation System (UPRIIS).', 'Crop establishment during the wet season, 2013, in Nueva Ecija started in July.', 'In addition to national-level projects, several consortia are demonstrating the value of rice crop monitoring with SAR across Asia and elsewhere.', 'Another project conducted by the Asian Development Bank and supported by the Japan Fund for Poverty Reduction aims to improve the quality and timeliness of rice crop area and production estimates and forecasts through SAR data [                   ].', 'In Europe, the ERMES (An Earth Observation Model-based Rice Information Service) project aims to develop a prototype of downstream service dedicated to the rice sector based on assimilation of EO and in situ data within crop yield modeling [                   ].', 'Current and forthcoming SAR systems, such as CSK, TSX, RADARSAT-2, RISAT-1, Sentinel-1 and ALOS-2, offer an unparalleled opportunity to deliver regular and systematic acquisitions of the rice crop in Asia.', 'This can be realized only if acquisition plans are aligned to the rice crop extent and rice crop calendar across Asia and if acquisitions are frequent enough.']
NGUYEN, CLAUSS et al. - MAPPING RICE SEASONALITY	True	Mapping Rice Seasonality in the Mekong Delta with Multi-Year Envisat ASAR WSM Data	Mekong Delta	['2. Study Area: Mekong Delta', '4. Methods and Data Analyses']	Mekong Delta (; Vietnam; Mekong River, the; Rice	Mekong Delta (; Vietnam; Mekong River, the	['         The Mekong Delta (MKD), Vietnam’s southernmost region and home to over 18 million inhabitants, covers an area of about 40,000 km2 between 8.5 11.5 N and 104.5 106.8 E and consists of 13 provinces, as depicted in Figure 2.', 'Due to its origin by accumulation of alluvial sediments from the Mekong River, the wide flat plain is mostly located below sea level and consists of fertile soils [                   ] and, like all deltas, it is vulnerable to a number of factors [                   ].']
NGUYEN, WAGNER - EUROPEAN RICE CROPLAND MAPPING	True	European Rice Cropland Mapping with Sentinel-1 Data: The Mediterranean Region Case Study		['2.1. Study Sites Characteristics', '2.2. Materials', '3. Methodology']	EU; Greece, Portugal; France; EU; Greece, Portugal; France; Nguyen et; Nguyen et; SAR IW	Greece, Portugal; France; Greece, Portugal; France	['           EU member countries followed by Greece, Portugal and France [                       ].', 'producer EU member countries followed by Greece, Portugal and France [                       ].']
NGUYEN, WAGNER et al. - RICEPLANDTED AREA EXTRACTION BY TIME	True	RICE-PLANDTED AREA EXTRACTION BY TIME SERIES ANALYSIS OF ENVISAT ASAR WS DATA USING A PHENOLOGY-BASED CLASSIFICATION APPROACH: A CASE STUDY FOR RED RIVER DELTA, VIETNAM	VIETNAM	['2. STUDY AREA & RICE CROP PHENOLOGY', '2.1 Study area']	Vietnam (; Gulf of Tonkin,; East Asia coast,	Vietnam (; Gulf of Tonkin,; East Asia coast,	['        Study area locates in the northern part of Vietnam (Lat.', '105.3\uf0b0 – 107.1\uf0b0 E), western coastal zone of the Gulf of Tonkin, includes 10 provinces and covers 2 approximately 15,000 km .', 'RRD is the second largest riceproducing area of the country and one of the five largest rivers on the of East Asia coast, almost flat plain with most of the land below 20 m (Figure 2).']
NIHAR, PATEL et al. - SUGARCANE CROP TYPE DISCRIMINATION	True	Sugarcane Crop Type Discrimination and Area Mapping at Field Scale Using Sentinel Images and Machine Learning Methods		['Materials and Methods', 'Study Area', 'Methodology']	Kisan Sahkari Chini Mill (; Nanauta in the; Saharanpur, Uttar Pradesh; Uttarakhand,; Dehradun; Haridwar; Saharanpur; West,; Ambala; Haryana; Saharanpur; East; District of Muzaffarnagar of Uttar Pradesh; South; 460; KSC Mill; Rice,; Saharanpur; KSCM; KSCM; SAR	Nanauta in the; Saharanpur, Uttar Pradesh; Uttarakhand,; Dehradun; Haridwar; Saharanpur; West,; Ambala; Haryana; Saharanpur; East; South; 460; Saharanpur	['The Kisan Sahkari Chini Mill (KSCM) Catchment located in the town of Nanauta in the district of Saharanpur, Uttar Pradesh was chosen as the area of interest for this study.', 'The districts of Uttarakhand, namely Dehradun and Haridwar neighbour Saharanpur by the North and the West, respectively; the Karnal and Ambala districts of Haryana border Saharanpur by the East and the District of Muzaffarnagar of Uttar Pradesh on the South.', 'The mill catchment contains sugarcane fields from around 165 villages covering a total area of over 460 square kilometres with an average sugarcane field size being 0.4 acres.', 'The Saharanpur district experiences a humid subtropical climate with annual precipitation ranging from 750 to 1200 mm and temperature ranging from 4 C in winters up to 40 C in summers.']
NIKAEIN, IANNINI et al. - ON THE VALUE OF SENTINEL1	False	On the Value of Sentinel-1 InSAR Coherence Time-Series for Vegetation Classification		['2. Study Area and Data', '3. Methods']	Campinas in the São Paulo state, Brazil; São Paulo; Google	Campinas in the São Paulo state, Brazil; São Paulo	['The study area is situated near Campinas in the São Paulo state, Brazil.', 'São Paulo has a tropical and subtropical climate with long and hot summers.']
NUMBISI, VAN, C, F et al. - DELINEATION OF COCOA AGROFORESTS USING	True	Delineation of Cocoa Agroforests Using Multiseason Sentinel-1 SAR Images: A Low Grey Level Range Reduces Uncertainties in GLCM Texture-Based Mapping		['2. Study Site', '2. Study Site', '3. Materials and Methods', '3. Materials and Methods']	Bakoa (in the; Bakoa (in the; Bokito District of the Mbam; Inoubou Department in the; Bokito District of the; Inoubou Department in the; Cameroon (; Cameroon (	Bakoa (in the; Bakoa (in the; Bokito District of the Mbam; Inoubou Department in the; Bokito District of the; Inoubou Department in the; Cameroon (; Cameroon (	['This study was conducted in the landscape of Bakoa (in the UTM zone 32N, and bounded This study was conducted in the landscape of Bakoa (in the UTM zone 32N, and bounded by the by the UTM coordinates 734280 m E 510975 m N and 747435 m N 501480 m E—a surface area of UTM coord2inates 734280 m E 510975 m N and 747435 m N 501480 m E—a surface area of 123.28 km2), 123.28 km ), which is located in the Bokito District of the Mbam and Inoubou Department in the which is located in the Bokito District of the Mbam and Inoubou Department in the center region of center region of Cameroon (Figure 1).', 'Cameroon (Figure 1).']
NURTYAWAN, SAEPULOH et al. - SATELLITE IMAGERY FOR CLASSIFICATION	True	Satellite Imagery for Classification of Rice Growth Phase Using Freeman Decomposition in Indramayu, West Java, Indonesia	Indramayu, West Java, Indonesia	['2. Materials and Methods', '2.1. Study Area', '2.4. Method']	Indramayu; Indramayu; Indramayu; Java Islands	Indramayu; Indramayu; Indramayu; Java Islands	['        The study area was located in Indramayu district (107°52’-108°36’ BT and 6°15’-6°40’ latitude) (Figure 1).', 'Field experiments were carried out at a typical paddy site in Indramayu.', 'The location of Indramayu district which stretches along the north coast of Java Islands.']
OLDONI, PRUDENTE et al. - POLARIMETRIC SAR DATA FROM SENTINEL1A	True	POLARIMETRIC SAR DATA FROM SENTINEL-1A APPLIED TO EARLY CROP CLASSIFICATION		['2. METHODOLOGY', '2.1 Study area']	Brazil; western Bahia state,; Campo Verde,; Mato Grosso state; LEM central; Maranhão, Tocantins, Piauí,; Bahia states; Municipal Agricultural Production; Brazilian Institute of Geography and Statistics (IBGE); LEM; Bahia; (IBGE,; Campo Verde; Campo Verde; Campo Verde,	Brazil; western Bahia state,; Campo Verde,; Mato Grosso state; Maranhão, Tocantins, Piauí,; Bahia states; Brazilian Institute of Geography and Statistics (IBGE); Bahia; Campo Verde; Campo Verde; Campo Verde,	['Two municipalities were selected in Brazil as test sites for this study (Figure 1).', 'One is Luís Eduardo Magalhães (LEM), located in western Bahia state, and the other is Campo Verde, located in the southeastern of the Mato Grosso state.', 'This municipality is inserted in the MATOPIBA economic region, which is an important agricultural frontier that comprises parts of Maranhão, Tocantins, Piauí, and Bahia states.', 'The LEM agricultural production is based mainly on soybean (179,540 ha), corn (19,136 ha), sorghum (14,000 ha), cotton (12,100 ha), and beans (7,910 ha); these numbers correspond to the planted area of each culture in 2018 according to the Municipal Agricultural Production survey (PAM, 2018), held by the Brazilian Institute of Geography and Statistics (IBGE).', 'Due to this agriculture importance, LEM has the 4th higher Gross Domestic Product (GDP), BRL 601,242.05 among Bahia municipalities (IBGE, 2017).', 'The central coordinates of Campo Verde are 15º37’19.4” S and 55º10’29.6” W (Figure 1b) and correspond an area of 4,794.56 km².', 'This municipality has an economic profile based on agribusiness, and according to the PAM survey (PAM, 2018), in 2018 Campo Verde was the 10th Brazilian municipality with the highest value of agricultural production (BRL 1,905,073).', 'In LEM and Campo Verde, two harvests are normally grown in one year.']
OLDONI, SANCHES et al. - LEM DATASET FOR AGRICULTURAL REMOTE	False	LEM+ dataset: For agricultural remote sensing applications		[]			
ORYNBAIKYZY, GESSNER et al. - CROP TYPE CLASSIFICATION USING FUSION	False	Crop Type Classification Using Fusion of Sentinel-1 and Sentinel-2 Data: Assessing the Impact of Feature Selection, Optical Data Availability, and Parcel Sizes on the Accuracies		['2. Materials and Methods', '2.1. Study Area', '2.4. Methodology']	Northern Germany; Brandenburg state; SAR Data Pre-Processing; Google; ESA,; Lee	Northern Germany; Brandenburg state	['The study site (Figure 1) is located in Northern Germany and covers the territory of Brandenburg state with an area of 29,654 km2, where 45% is agricultural land [38].']
OYOSHI, TOMIYAMA et al. - MAPPING RICEPLANTED AREAS USING TIMESERIES	True	Mapping rice-planted areas using time-series synthetic aperture radar data for the Asia-RiCE activity		['Methodology', 'Study area and data', 'Study area']	Ministry of Agriculture,; (MAFF), Japan (; Japan; Yamagata Prefecture; Japan; Japan; Tsuruoka City,; Yamagata Prefecture,; Japan; Tsuruoka city,; Tsuruoka City	Japan; Yamagata Prefecture; Japan; Japan; Tsuruoka City,; Yamagata Prefecture,; Japan; Tsuruoka city,; Tsuruoka City	['According to the agricultural statistics published by the Ministry of Agriculture, Forestry and Fisheries (MAFF), Japan (2014), the area of rice planting in Japan was 2,280,000 ha in 2013.', 'Yamagata Prefecture located at the northeastern part of Japan is the seventh largest rice-planted prefecture in Japan with 88,300 ha in 2013.', 'Tsuruoka City, located in Yamagata Prefecture, was registered as Japan’s TDS site for Asia-RiCE (Fig.', '3), and the Shonai Plain, which includes Tsuruoka city, is one of the largest rice-producing areas.', 'For this reason, Tsuruoka City and the surrounding areas were selected as the study site in this study.']
OZDOGAN, YANG et al. - REMOTE SENSING OF IRRIGATED AGRICULTURE	True	Remote Sensing of Irrigated Agriculture: Opportunities and Challenges		['2.2. Regional Studies']	Xiao et; NDVI,; MODIS		
PAGEOT, BAUP et al. - DETECTION OF IRRIGATED AND RAINFED	True	Detection of Irrigated and Rainfed Crops in Temperate Areas Using Sentinel-1 and Sentinel-2 Time Series		['2. Study Site and Dataset', '3. Methods', '4.5. Regional Statistics']	southwestern France, west of Toulouse (city); Land Parcel Information System; French Services and Payments Agency	southwestern France, west of Toulouse (city)	['The study site is a watershed (Adour Amont) located in the southwestern France, west of Toulouse (city).']
PANIGRAHY, CHAKRABORTY et al. - EVALUATION OF RADARSAT SCANSAR SYNTHETIC	True	Evaluation o f R A D A R S A T S c a n S A R Synthetic Aperture Radar Data for Rice Crop Inventory and Monitoring		['Study Area']	West Bengal State, India, Rice; Aman; Hughil; Bhagirahi River; Hughli; India (; Lee; (Lee,	West Bengal State, India, Rice; Hughil; Bhagirahi River; India (	['The study area lies in West Bengal State, India, Rice is the most dominant crop of the area during rainy season (July-October).', 'Jute occupied 3-4 per cent area along the banks of Hughil and Bhagirahi River during May to August.', 'Survey o f India (SOI) topographical maps on 1:50,000 scale were used to select Ground Control Points (GCPs) and to develop a map to image registration model for the July image.']
PANIGRAHY, JAIN et al. - IDENTIFICATION OF AMAN RICE CROP	True	Identification of Aman Rice Crop in Bangladesh Using Temporal C-Band SAR - A Feasibility Study	Bangladesh	['Study Area', 'Methodology']	Bangladesh; India; Bangladesh; Bangladesh; Bangladesh; Ganges; Brahmaputra rivers; Aman; Bangladesh,	Bangladesh; India; Bangladesh; Bangladesh; Bangladesh; Ganges; Brahmaputra rivers; Bangladesh,	['        To analyze the similarity of rice growing environment of Bangladesh and India To classify the rice areas of Bangladesh using appropriate signature from Indian rice areas.', 'Bangladesh having a geographic area of 14.845 million hectares                   is a major rice growing country.', 'Most of Bangladesh lies within the broad delta formed by the Ganges and Brahmaputra rivers and is exceedingly flat, low-lying, with fertile, alluvial soil.', 'Aman crop, which is the major rice crop grown in Bangladesh, is taken for study.']
PAREKH, MEHTA et al. - RABI CROPPED AREA FORECASTING	True	Rabi cropped area forecasting of parts of Banaskatha District,Gujarat using MRS RISAT-1 SAR data	Banaskatha District, Gujarat	['2. STUDY AREA', '3. METHODOLOGY AND DATA USED']	Gujarat state, western India; Gujarat; Marwal; Sirohi regions of Rajasthan State in north, Sabarkatha; Mehsana; Patan; Banas River; Lee	Gujarat state, western India; Gujarat; Sirohi regions of Rajasthan State in north, Sabarkatha; Mehsana; Patan; Banas River	['Banaskatha is a district of Gujarat state, western India.', '(3.11% of Gujarat’s area), which is surrounded by Marwal and Sirohi regions of Rajasthan State in north, Sabarkatha district in the east, Mehsana district in the south and Patan district in the west.', 'The district includes the area around the bank of Banas River.']
PAZHANIVELAN, KANNAN et al. - RICE CROP MONITORING AND YIELD	True	RICE CROP MONITORING AND YIELD ESTIMATION THROUGH COSMO SKYMED AND TERRASAR-X: A SAR-BASED EXPERIENCE IN INDIA	INDIA	['2.3. Study Site Characteristics', '3. METHODS']	Rice; India; Cuddalore District, the; Sivaganga, the; Thirupuvanam, Sivaganga, Manamadurai, Singampunari,; S. Pudur, Sakkottai, Kallal; Illayangudi; Sakkottai, Kannankudi, Devakkottai, Kallal, Kalayarkovil, Sivagangai, Manamadurai, Illayangudi; Illayangudi, Devakkotai, Kannankudi; Kalaiyarkovil; Thanjavur; Tamil Nadu; South India‖	India; Cuddalore District, the; Sivaganga, the; Thirupuvanam, Sivaganga, Manamadurai, Singampunari,; S. Pudur, Sakkottai, Kallal; Illayangudi; Sakkottai, Kannankudi, Devakkottai, Kallal, Kalayarkovil, Sivagangai, Manamadurai, Illayangudi; Illayangudi, Devakkotai, Kannankudi; Thanjavur; Tamil Nadu; South India‖	['Rice is the dominant crop among the three RIICE sites in India.', 'In Cuddalore District, the samba season from mid-July 2013 to the first week of January 2014 was monitored.', 'In Sivaganga, the samba season lasted from September 2013 to January 2014, with rice cultivated on 86% of the total cropped area.', 'The transplanted system was practiced in the blocks of Thirupuvanam, Sivaganga, Manamadurai, Singampunari, Thirupattur, S. Pudur, Sakkottai, Kallal and Illayangudi.', 'Later, the fields were converted into wet fields by irrigating from tanks and this type of cultivation was practiced in the blocks of Sakkottai, Kannankudi, Devakkottai, Kallal, Kalayarkovil, Sivagangai, Manamadurai, Illayangudi and Thirupathur.', 'Directseeded rice cultivation mainly depends on rainfall and is mostly practiced in Illayangudi, Devakkotai, Kannankudi and Kalaiyarkovil blocks.', 'Thanjavur is popularly known as the ―Rice Bowl‖ of Tamil Nadu and ―Granary of South India‖ as it is the major district contributing to the food grain supply of the state.']
PLANQUE, LUCAS et al. - NATIONAL CROP MAPPING USING SENTINEL1	True	National Crop Mapping Using Sentinel-1 Time Series: A Knowledge-Based Descriptive Algorithm		['2.4. Methods for Crop Type Mapping']	SAR Dynamics		
QU, ZHAO et al. - CROP MAPPING FROM SENTINEL1 POLARIMETRIC	True	Crop Mapping from Sentinel-1 Polarimetric Time-Series with a Deep Neural Network		['2. Study Area and Data', '2.1. Study Area', '3. Methods']	California; United States of America (U.S.); California; California,; Imperial, Southern California, at; Colorado Desert,; California; U.S.; Solano; Yolo counties of California, Northern California, at; Mediterranean; U.S	California; United States of America (U.S.); California; California,; Imperial, Southern California, at; Colorado Desert,; California; Solano; Yolo counties of California, Northern California, at; Mediterranean	['          California is the largest agricultural state in the United States of America (U.S.) [                       ].', 'This indicates the significance of crop mapping in California.', 'Thus, this study is carried out at two di erent sites in California, henceforth referred to as study area 1 and study area 2 (Figure 1).', '          Study area 1 is situated in Imperial, Southern California, at 33 010N and 115 350W, covering a region about 10 km 10 km.', 'The area is in the Colorado Desert, with a tropical desert climate, which is very hot.', 'The area has one of the highest yields of crops such as alfalfa, onions, and lettuce in California.', '          Study area 2 is situated in an agricultural district stretching over Solano and Yolo counties of California, Northern California, at 38 260N and 121 440W, covering a region about 10 km 10 km.', 'The area has a Mediterranean climate, characterized by dry hot summers and wet cool winters [                       ].']
RAJPOOT, SAXENA et al. - JUTE CROP PRODUCTION ESTIMATION	True		no-title	['2. STUDY AREA AND DATA SETS']	India; Assam, Bihar; West Bengal	India; Assam, Bihar; West Bengal	['The district level area and production estimates are carried out in 3 major Jute growing states of India.', 'The states are Assam, Bihar and West Bengal.']
RAMADHANI, PULLANAGARI et al. - AUTOMATIC MAPPING OF RICE GROWTH	True	Automatic Mapping of Rice Growth Stages Using the Integration of SENTINEL-2, MOD13Q1, and SENTINEL-1		['2.2. Study Area', '3. Methods']	East Area; East Area; Ciherang, of; Ciherang, of; West Area; West Area; Karawang (; West Area; Karawang (; Subang Subang (; Jatiluhur; Jatiluhur; East Area; East Area; West Java Province	East Area; East Area; Ciherang, of; Ciherang, of; West Area; Karawang (; West Area; Karawang (; Subang Subang (; Jatiluhur; Jatiluhur; East Area; West Java Province	['Study Area 4 of 23 which represents the paddy area, mainly irrigated area and low land, while the East Area is located Java, which represents the paddy area, mainly irrigated area and low land, while the East Area is with larger rain-fed paddy field and have a high fragmented area.', 'The wet season is from October to varieties, such as IR64, Ciherang, of glutinous rice are widely adopted in this area [19,21].', 'duration varieties, such as IR64, Ciherang, of glutinous rice are widely adopted in this area [19,21].', 'West Area consists of paddy area in three regencies, which are Karawang (96,482 ha), West Area consists of paddy area in three regencies, which are Karawang (96,482 ha), Subang Subang (84,228 ha), and Indramayu (115,555), with a total area of 310,265 ha [70] (Figure 2).', 'Most of the area the area is irrigated paddy field from Jatiluhur area (258,633 ha), established on alluvial and lithosol is irrigated paddy field from Jatiluhur area (258,633 ha), established on alluvial and lithosol soil.', 'East Area is located on West Java Province consists of four regencies, including Bojonegoro (78,677 ha), Lamongan (87,336 ha), Jombang (48,704 ha), and Nganjuk (42,918 ha), totalling an area size']
RAMAN, KALIAPERUMAL et al. - RICE AREA ESTIMATION USING PARAMETERIZED	True	RICE AREA ESTIMATION USING PARAMETERIZED CLASSIFICATION OF SENTINEL 1A SAR DATA		['METHODOLOGY 2.1', 'Study Area', 'Absolute location accuracy (m) (NRT)']	Tiruvarur; Tamil Nadu state of India; Nagapattinam; Thanjavur District; Palk Strait; E. Paddy; Paddy; Sentinel; European Union's	Tiruvarur; Tamil Nadu state of India; Nagapattinam; Thanjavur District; Palk Strait	['Tiruvarur district is one of the 32 districts in the Tamil Nadu state of India.', 'It lies between Nagapattinam district on the east and Thanjavur District on the west, and is bounded by the Palk Strait on the south (Fig.']
RAO, ZHOU et al. - USING SENTINEL1 SENTINEL2 AND PLANET	True	Using Sentinel-1, Sentinel-2, and Planet Imagery to Map Crop Type of Smallholder Farms		['2. Materials and Methods', '2.2. Methods']	Vaishali; Samastipur; Bihar in India (	Vaishali; Samastipur; Bihar in India (	['Our study area covered a 20 km 20 km region in the Vaishali and Samastipur districts of Bihar in India (Figure 1), for which crop type information from 385 farms across 30 villages was collected during the winter growing season of 2016–2017.']
RASID, PRASHNANI et al. - CROP DAMAGE ASSESSMENT IN FLOOD	True	CROP DAMAGE ASSESSMENT IN FLOOD INUNDATED AREA OF MORIGAON DISTRICT OF ASSAM		['2. STUDY AREA']	Morigaon; Assam	Morigaon; Assam	"['Morigaon district of Assam extents from 26° 15\' 36"" North Latitude to 92° 15\' 46.8"" East Longitude stretching across fertile alluvial plains, forest and grass/ grazing lands, wetlands, water bodies and wetlands.']"
ROBA, KASSA et al. - MODELING CLIMATE CHANGE IMPACTS	False	Modeling climate change impacts on crop water demand, middle Awash River basin, case study of Berehet woreda	Awash River	[]			
RUDIYANTO, MINASNY et al. - AUTOMATED NEARREALTIME MAPPING AND MONITORING	True	Automated Near-Real-Time Mapping and Monitoring of Rice Extent, Cropping Patterns, and Growth Stages in Southeast Asia Using Sentinel-1 Time Series on a Google Earth Engine Platform	Southeast Asia	['2. Materials and Methods', '2.1. Study Sites', '2.4. Methodology']	West Java,; Subang, Karawang,; Bekasi; Indonesia; Malaysia,; Kedah; Perlis states (; Padang Terap River; Langkawi Island; Kedah state; Malaysia	West Java,; Subang, Karawang,; Bekasi; Indonesia; Malaysia,; Kedah; Padang Terap River; Langkawi Island; Kedah state; Malaysia	['          Study site 1 covers an area of 752,517 ha across four northern districts of West Java, Indonesia—the Indramayu, Subang, Karawang, and Bekasi districts (5.91 –6.85 S and 106.97 –108.54 E) (Figure 1).', 'This area is Indonesia’s main rice production region [                       ].', '          Study site 2, in Malaysia, crosses the Kedah and Perlis states (5.08 –6.72 S and 99.64 –101.13 E) and covers about 1,024,800 ha (Figure 1).', 'Rice fields are mostly located in the floodplain of the Padang Terap River with elevation ranging from sea level up to about 15 m a.s.l.', 'Small areas of rice fields are also found in Langkawi Island which is a part of Kedah state.', 'The total rice paddy area in this study site is about 133,305 ha and is the largest grain growing area in Malaysia [                       ].']
